model_name,model_family,training_type,backbone,backbone_checkpoint,input_level,evaluation_head,split,n_samples_or_patients,accuracy,balanced_accuracy,balanced_accuracy_at_0.5,roc_auc,average_precision,precision,recall,f1,threshold_policy,checkpoint_or_run_path,source_project,notes
DINO-full,SSL-DINO-full,frozen-features + kNN,student,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,slice,knn_k100,val,10477,0.5997900162260189,0.5294423269411823,,0.5384966255388732,,,,,majority_vote,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; kNN evaluated on val split only (no test kNN)
DINO-full,SSL-DINO-full,frozen-features + kNN,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,slice,knn_k100,val,10477,0.5950176577264484,0.5224806302958228,,0.5415319756206333,,,,,majority_vote,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; kNN evaluated on val split only (no test kNN)
DINO-full,SSL-DINO-full,frozen-features + linear head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,slice,linear_probe,val,10477,0.5847093633673761,0.5915151082701551,,0.6340518903919528,0.5106602662304895,0.4423998466551658,0.6154666666666667,0.5147764023642244,argmax@0.5,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/probe_linear_slice_head,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).
DINO-full,SSL-DINO-full,frozen-features + linear head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,slice,linear_probe,test,10753,0.5928578071235934,0.6030485999430406,,0.6360053573428959,0.5504027785905323,0.48799010950194277,0.6513437057991514,0.557956381260097,argmax@0.5,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/probe_linear_slice_head,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).
DINO-full,SSL-DINO-full,frozen-features + linear head + patient mean prob,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_mean_from_probe,val,285,,0.6266788766788767,,0.6747049247049247,,,,,tuned_on_val_balanced_acc,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/probe_linear_slice_head,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; aggregation=mean_slice_probability_per_patient; same split
DINO-full,SSL-DINO-full,frozen-features + linear head + patient mean prob,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_mean_from_probe,test,299,,0.6349112426035504,,0.6804733727810651,,,,,tuned_on_val_balanced_acc,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/probe_linear_slice_head,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; aggregation=mean_slice_probability_per_patient; threshold tuned on val (balanced_accuracy)
DINO-full,SSL-DINO-full,frozen-features + MIL head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_attention_mil,val,285,,0.646062271062271,0.621031746031746,0.6788766788766788,,,,,tuned_on_val_balanced_acc,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/patient_pool,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).
DINO-full,SSL-DINO-full,frozen-features + MIL head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_attention_mil,test,299,,0.6559171597633136,0.6387573964497042,0.6978152025489304,,,,,threshold_from_val,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/patient_pool,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).
DINO-full,SSL-DINO-full,frozen-features + MIL head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_mean_embed,val,285,,0.6472832722832723,0.6012667887667889,0.6645299145299145,,,,,tuned_on_val_balanced_acc,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/patient_mean,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; mean embedding pool + logreg
DINO-full,SSL-DINO-full,frozen-features + MIL head,teacher,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/checkpoints/best.pt,patient,patient_mean_embed,test,299,,0.6127218934911243,0.6150887573964497,0.6693218024578972,,,,,threshold_from_val,/mnt/md0/Liron/mammodino_ssl_project_dino_full/experiments/dino_full_runs/dino_full_v1_20260606_131923_388774/eval/patient_mean,mammodino_ssl_project_dino_full,Primary DINO-full run (faithful multicrop SSL).; mean embedding pool + logreg
Partner DINO-only (May 2026),SSL-DINO,frozen-features + linear head,teacher,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/checkpoints/best.pt,slice,linear_probe,val,10477,0.6317648181731411,0.5221837173579109,,0.5341376542292255,0.39935797748408913,0.45229681978798586,0.13653333333333334,0.2097501024170422,argmax@0.5,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/probe_linear_slice_head,mammodino_ssl_project,"Legacy DINO-only SSL (100ep, early-stop val_acc). Different backbone from DINO-full."
Partner DINO-only (May 2026),SSL-DINO,frozen-features + linear head,teacher,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/checkpoints/best.pt,slice,linear_probe,test,10753,0.592206826002046,0.5089814277958941,,0.5247144045426768,0.4251468408956646,0.4358744394618834,0.11456859971711457,0.18144483852902743,argmax@0.5,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/probe_linear_slice_head,mammodino_ssl_project,"Legacy DINO-only SSL (100ep, early-stop val_acc). Different backbone from DINO-full."
Partner DINO-only (May 2026),SSL-DINO,frozen-features + linear head + patient mean prob,teacher,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/checkpoints/best.pt,patient,patient_mean_from_probe,val,285,,0.5048076923076923,,0.5656288156288156,,,,,tuned_on_val_balanced_acc,/mnt/md0/Liron/mammodino_ssl_project/experiments/dino_probe_bundles/run_20260509_195040/dino_fulltrain_100ep_es5_20260509_195045_368618/probe_linear_slice_head,mammodino_ssl_project,"Legacy DINO-only SSL (100ep, early-stop val_acc). Different backbone from DINO-full.; aggregation=mean_slice_probability_per_patient; same split"
